id;en;de;fr;it;es;zh;ja;ko;pt;pl;ru;tr
EARTHSHAPER_DESC;Each attack casts a stone boulder in a random direction piercing through all enemies. Damage scales with your melee damage.;Jeder Angriff schleudert einen Steinbrocken in eine zufällige Richtung, der alle Gegner durchbohrt. Der Schaden skaliert mit deinem Nahkampfschaden.;Chaque attaque projette un bloc de pierre dans une direction aléatoire, transperçant tous les ennemis. Les dégâts sont proportionnels aux dégâts de mêlée.;Ogni attacco lancia un masso di pietra in una direzione casuale che attraversa tutti i nemici. I danni sono proporzionali ai danni in mischia.;Cada ataque lanza una roca de piedra en una dirección aleatoria que atraviesa a todos los enemigos. El daño se escala con tu daño cuerpo a cuerpo.;每次攻击都会向随机方向投掷一块巨石，穿透所有敌人。伤害与近战伤害成比例。;各攻撃は全ての敵を貫通する石の塊をランダムな方向に投げつける。ダメージは近接攻撃のダメージに比例する。;공격할 때마다 모든 적을 관통하는 돌덩이를 무작위 방향으로 던집니다. 피해량은 근접 공격력에 따라 증가합니다.;Cada ataque lança um pedregulho de pedra numa direção aleatória, perfurando todos os inimigos. O dano é proporcional ao teu dano corpo a corpo.;Każdy atak ciska kamiennym głazem w losowym kierunku, przebijając wszystkich wrogów. Obrażenia skalują się wraz z obrażeniami zadawanymi w walce wręcz.;Каждая атака бросает каменную глыбу в случайном направлении, пронзая всех врагов насквозь. Урон зависит от вашего урона в ближнем бою.;Her saldırı, tüm düşmanları delip geçen rastgele bir yönde bir taş kaya fırlatır. Hasar, yakın dövüş hasarınla ölçeklenir.
GRIMM_REBOUND;Grimm Rebound;Grimmender Rückstoß;Rebond de Grimm;Rimbalzo Grimm;Rebote Grimm;格林反弹;グリムリバウンド;그림 리바운드;Rebote de Grimm;Grimm Rebound;Восстановление Гримм;Grimm Rebound
GRIMM_REBOUND_DESC;Projectiles bounce off walls and create a dark explosion on wall hit. Explosion scales with AoE size and projectile damage.;Projektile prallen von Wänden ab und erzeugen eine dunkle Explosion, wenn sie eine Wand treffen. Die Explosion skaliert mit der AoE-Größe und dem Projektilschaden.;Les projectiles rebondissent sur les murs et créent une explosion sombre lorsqu'ils les touchent. L'explosion s'adapte à la taille de l'AoE et aux dégâts des projectiles.;I proiettili rimbalzano sui muri e creano un'esplosione scura quando vengono colpiti. L'esplosione varia in base alle dimensioni dell'AoE e ai danni del proiettile.;Los proyectiles rebotan en las paredes y crean una explosión oscura al golpearlas. La explosión varía con el tamaño de AoE y el daño del proyectil.;射弹会反弹到墙壁上，并在击中墙壁时产生黑暗爆炸。爆炸会随着 AoE 大小和投射伤害的增加而增加。;投擲物は壁で跳ね返り、壁ヒット時に暗黒の爆発を起こす。爆発はAoEの大きさと投射物のダメージに比例する。;투사체는 벽에 부딪히면 튕겨져 나가며 어두운 폭발을 일으킵니다. 폭발은 범위 크기와 투사체 피해에 따라 스케일링됩니다.;Os projécteis ricocheteiam nas paredes e criam uma explosão negra quando atingem uma parede. A explosão aumenta com o tamanho da área e o dano do projétil.;Pociski odbijają się od ścian i tworzą mroczną eksplozję po trafieniu w ścianę. Eksplozja skaluje się wraz z rozmiarem zasięgu obszarowego i obrażeniami zadawanymi przez pociski.;Снаряды отскакивают от стен и создают темный взрыв при попадании в стену. Взрыв зависит от размера АоЕ и урона от снаряда.;Mermiler duvarlardan seker ve duvara isabet ettiğinde karanlık bir patlama yaratır. Patlama, etki alanı boyutu ve mermi hasarı ile ölçeklenir.
ECHO_BALLISTA;Echo Ballista;Echo-Ballista;Baliste d'écho;Balista dell'eco;Balista de Eco;回音炮;エコーバリスタ;에코 발리스타;Balista de Eco;Echo Ballista;Баллиста Эхо;Echo Balista
ECHO_BALLISTA_DESC;Projectiles bounce off opponents and can hit another opponent.;Projektile prallen von Gegnern ab und können einen weiteren Gegner treffen.;Les projectiles rebondissent sur les ennemis et peuvent toucher un autre ennemi.;I proiettili rimbalzano sugli avversari e possono colpire un altro avversario.;Los proyectiles rebotan en los oponentes y pueden golpear a otro oponente.;投射物会从对手身上弹起并击中另一个对手。;弾は相手に当たって跳ね返り、別の相手に当たることもある。;투사체는 적에게 튕겨나가 다른 적을 맞힐 수 있습니다.;Os projécteis ricocheteiam nos adversários e podem atingir outro adversário.;Pociski odbijają się od przeciwników i mogą trafić innego przeciwnika.;Снаряды отскакивают от противников и могут попасть в другого противника.;Mermiler rakiplerden seker ve başka bir rakibe isabet edebilir.
POISONED_BLIGHT;Poisoned Blight;Giftbrand;Fléau empoisonné;Pericolo avvelenato;Tizón envenenado;中毒疫病;ポイズン・ブライト;중독된 역병;Praga envenenada;Zatruta zaraza;Отравленный свет;Zehirli Yanıklık
POISONED_BLIGHT_DESC;Hit enemies are poisoned and spread poison condition to nearby enemies when defeated.;Getroffene Feinde werden vergiftet und verbreiten den Giftzustand auf Feinde in der Nähe, wenn sie besiegt werden.;I nemici colpiti vengono avvelenati e, una volta sconfitti, diffondono la condizione di veleno ai nemici vicini.;I nemici colpiti vengono avvelenati e, una volta sconfitti, diffondono la condizione di veleno ai nemici vicini.;Los enemigos golpeados se envenenan y propagan la condición de veneno a los enemigos cercanos cuando son derrotados.;被击中的敌人会中毒，并在被击败时向附近的敌人散播毒气。;命中した敵は毒状態になり、倒すと近くの敵に毒状態を撒き散らす。;적중당한 적은 독에 중독되며, 처치 시 주변 적에게 독 상태를 전파합니다.;Os inimigos atingidos são envenenados e espalham a condição de veneno para os inimigos próximos quando derrotados.;Trafieni wrogowie zostają zatruci, a po pokonaniu rozprzestrzeniają stan zatrucia na pobliskich przeciwników.;Попавшие в цель враги отравлены и при поражении распространяют яд на ближайших противников.;Vurulan düşmanlar zehirlenir ve yenildiklerinde zehir durumu yakındaki düşmanlara yayılır.
BUZZKEEPER;Buzzkeeper;Buzzkeeper;Buzzkeeper;Cicalino;Buzzkeeper;嗡嗡守护者;バズキーパー;버즈키퍼;Guardião do zumbido;Buzzkeeper;Buzzkeeper;Buzzkeeper
BUZZKEEPER_DESC;Projectile damage scales with companion damage. Projectiles hits have a 40% chance to spawn a bumblebee companion on enemy death.;Der Projektilschaden skaliert mit dem Schaden des Begleiters. Geschosstreffer haben eine 40%ige Chance, beim Tod des Gegners einen Hummel-Begleiter zu spawnen.;Les dégâts des projectiles augmentent avec les dégâts des compagnons. Les projectiles ont 40 % de chances d'engendrer un compagnon bourdon à la mort de l'ennemi.;I danni dei proiettili scalano con quelli dei compagni. I proiettili colpiti hanno una probabilità del 40% di generare un compagno bombo alla morte del nemico.;El daño de los proyectiles se escala con el daño de los compañeros. Los impactos de proyectil tienen un 40% de probabilidad de generar un compañero abejorro al morir el enemigo.;投射伤害与同伴伤害成比例。投射物命中敌人后有 40% 的几率在敌人死亡时生成大黄蜂同伴。;投擲物のダメージはコンパニオンのダメージに比例する。投擲物の命中時、40%の確率で敵死亡時にバンブルビーコンパニオンをスポーンする。;투사체 피해는 동반자 피해에 따라 증가합니다. 투사체에 적중하면 적 사망 시 40% 확률로 호박벌 동료를 생성합니다.;O dano do projétil é proporcional ao dano do companheiro. Os projécteis atingidos têm 40% de probabilidade de gerar um companheiro abelhão quando o inimigo morre.;Obrażenia od pocisków skalują się wraz z obrażeniami od towarzyszy. Trafienia pociskami mają 40% szans na pojawienie się towarzysza trzmiela po śmierci wroga.;Урон от снарядов зависит от урона компаньона. Попадания снарядов имеют 40% шанс породить компаньона-шмеля при смерти врага.;Mermi hasarı yoldaş hasarı ile ölçeklenir. Mermi isabetlerinin, düşman öldüğünde bir yaban arısı yoldaşı ortaya çıkarma şansı %40'tır.
SUN_ORB;Sun Orb;Sonnenkugel;Orbe solaire;Globo del sole;Orbe solar;太阳球;サンオーブ;태양 오브;Orbe Solar;Kula Słońca;Солнечная сфера;Güneş Küresi
SUN_ORB_DESC;The projectile deals splash damage which scales with melee damage.;Das Projektil verursacht Splash-Schaden, der mit dem Nahkampfschaden skaliert. ;Le projectile inflige des dégâts d'éclaboussure qui augmentent avec les dégâts de mêlée.;Il proiettile infligge danni da schizzo che scalano con i danni in mischia.;El proyectil inflige daño de salpicadura que aumenta con el daño cuerpo a cuerpo.;投射物会造成溅射伤害，并与近战伤害成比例。;スプラッシュダメージを与える。;투사체가 근접 피해에 비례하여 증가하는 비산 피해를 입힙니다.;O projétil causa dano de projeção que aumenta com o dano corpo a corpo.;Pocisk zadaje obrażenia rozpryskowe, które skalują się z obrażeniami od walki wręcz.;Снаряд наносит урон от брызг, который увеличивается вместе с уроном ближнего боя.;Mermi, yakın dövüş hasarı ile ölçeklenen sıçrama hasarı verir.
MOON_BLADE;Moonblade;Mondklinge;Lame de lune;Lama di luna;Hoja lunar;月刃;ムーンブレード;문블레이드;Lâmina da Lua;Księżycowe Ostrze;Moonblade;Ay Bıçağı
MOON_BLADE_DESC;Each attack casts an additional AoE effect in attack direction, damage scales with projectile damage.;Jeder Angriff bewirkt einen zusätzlichen AoE-Effekt in Angriffsrichtung, der Schaden skaliert mit dem Projektilschaden.;Chaque attaque lance un effet AoE supplémentaire dans la direction de l'attaque, les dégâts sont proportionnels aux dégâts des projectiles.;Ogni attacco lancia un effetto AoE aggiuntivo nella direzione dell'attacco, i danni scalano con quelli del proiettile.;Cada ataque lanza un efecto AoE adicional en la dirección del ataque, el daño se escala con el daño del proyectil.;每次攻击都会在攻击方向上施放额外的 AoE 效果，伤害随投射伤害缩放。;各攻撃は攻撃方向にAoE効果を追加し、ダメージは投擲ダメージに比例する。;공격할 때마다 공격 방향에 추가 광역 효과를 시전하며, 투사체 피해에 따라 피해량이 증가합니다.;Cada ataque lança um efeito AoE adicional na direção do ataque, o dano é proporcional ao dano do projétil.;Każdy atak wywołuje dodatkowy efekt obszarowy w kierunku ataku, obrażenia skalują się wraz z obrażeniami od pocisków.;Каждая атака накладывает дополнительный АоЕ-эффект в направлении атаки, урон зависит от урона, наносимого снарядом.;Her saldırı, saldırı yönünde ek bir AoE etkisi yaratır, hasar mermi hasarıyla ölçeklenir.
SUNFIRE_SCEPTRE;Sunfire Sceptre;Sonnenfeuer-Zepter;Sceptre de feu de soleil;Scettro di fuoco solare;Cetro de fuego solar;日火权杖;サンファイアセプター;태양불 홀;Cetro de Fogo Solar;Berło Ognia Słonecznego;Скипетр солнечного огня;Güneş Ateşi Asası
SUNFIRE_SCEPTRE_DESC;Spawns an orbiting projectile each second without attacking, triggers all projectile effects.;Bringt jede Sekunde ein kreisendes Projektil hervor, dass alle Projektileffekte auslöst.;Génère un projectile en orbite chaque seconde sans attaquer, déclenche tous les effets des projectiles.;"Genera un proiettile orbitante ogni secondo senza attaccare; attiva tutti gli effetti del proiettile.";Genera un proyectil en órbita cada segundo sin atacar, activa todos los efectos de proyectil.;在不攻击的情况下，每秒产生一个轨道弹丸，触发所有弹丸效果。;攻撃しなくても毎秒軌道上に投射物を生成し、全ての投射物効果を発動する。;공격하지 않고 매초 궤도를 도는 투사체를 생성하여 모든 투사체 효과를 발동시킵니다.;Cria um projétil em órbita a cada segundo sem atacar, activando todos os efeitos de projétil.;Wywołuje orbitujący pocisk co sekundę bez atakowania, uruchamia wszystkie efekty pocisków.;Каждую секунду без атаки порождает орбитальный снаряд, срабатывают все эффекты снаряда.;Saldırmadan her saniye yörüngede dönen bir mermi üretir, tüm mermi etkilerini tetikler.
GLOOMTIDE;Gloomtide;Gloomtide;Gloomtide;Gloomtide;Marea tenebrosa;阴暗潮汐;グロムタイド;글룸타이드;Maré Negra;Przypływ Mroku;Gloomtide;Gloomtide
GLOOMTIDE_DESC;Spawns two orbiting melee blades each 2 seconds without attacking, triggering all melee effects.;Bringt alle 2 Sekunden zwei kreisende Nahkampfklingen hervor, dass alle Nahkampfeffekte auslöst.;Génère deux lames de mêlée orbitales toutes les 2 secondes sans attaquer, déclenchant tous les effets de mêlée.;Genera due lame da mischia orbitanti ogni 2 secondi senza attaccare, attivando tutti gli effetti da mischia.;Genera dos cuchillas en órbita cuerpo a cuerpo cada 2 segundos sin atacar, activando todos los efectos cuerpo a cuerpo.;在不攻击的情况下，每 2 秒产生两枚轨道近战刀片，触发所有近战效果。;攻撃しなくても2秒毎に2つの近接ブレードを生成し、全ての近接効果を発動する。;공격하지 않고 2초마다 궤도를 도는 근접 칼날을 두 개씩 생성하여 모든 근접 효과를 발동시킵니다.;Cria duas lâminas corpo a corpo orbitantes a cada 2 segundos sem atacar, activando todos os efeitos de corpo a corpo.;Tworzy dwa orbitujące ostrza do walki wręcz co 2 sekundy bez atakowania, aktywując wszystkie efekty do walki wręcz.;Порождает два орбитальных клинка ближнего боя каждые 2 секунды без атаки, срабатывают все эффекты ближнего боя.;Saldırmadan her 2 saniyede bir yörüngede dönen iki yakın dövüş bıçağı ortaya çıkarır ve tüm yakın dövüş etkilerini tetikler.
ABYSSAL_HUNGER;Abyssal Hunger;Abyssaler Hunger;Abyssal Hunger;Fame abissale;Abyssal Hunger;深淵的飢餓;深淵の飢え;심연의 굶주림;Fome Abissal;Głód otchłani;Голод бездны;Abyssal Açlık
ABYSSAL_HUNGER_DESC;Defeated enemies charge up this weapon and increase the weapon damage as it evolves. Getting hit will removes 40 weapon charges.;Besiegte Feinde laden diese Waffe auf und erhöhen den Waffenschaden, während sie sich weiterentwickelt. Wenn du getroffen wirst, werden 40 Waffenladungen entfernt.;Les ennemis vaincus chargent cette arme et augmentent les dégâts de l'arme au fur et à mesure de son évolution. Le fait d'être touché enlève 40 charges à l'arme.;I nemici sconfitti ricaricano quest'arma e aumentano i danni dell'arma man mano che si evolve. Essere colpiti rimuove 40 cariche dell'arma.;Los enemigos derrotados cargan esta arma y aumentan su daño a medida que evoluciona. Si te golpean, eliminarás 40 cargas de arma.;击败的敌人会为该武器充能，并在进化过程中增加武器伤害。被击中将移除 40 个武器充能。;敵を倒すとこの武器がチャージされ、進化すると武器ダメージが増加する。攻撃を受けると40チャージされる。;쓰러진 적은 이 무기를 충전하고 진화하면서 무기 공격력이 증가합니다. 적중하면 무기 충전이 40개 제거됩니다.;Inimigos derrotados carregam esta arma e aumentam o dano da arma à medida que ela evolui. Ser atingido remove 40 cargas de arma.;Pokonani wrogowie ładują tę broń i zwiększają zadawane przez nią obrażenia w miarę jej rozwoju. Trafienie usuwa 40 ładunków broni.;Побежденные враги заряжают это оружие и увеличивают его урон по мере развития. Попадание в цель снимет 40 зарядов оружия.;Yenilen düşmanlar bu silahı şarj eder ve geliştikçe silahın verdiği hasarı artırır. Vurulmak 40 silah şarjını kaldırır.
WILDFIRES_WRATH;Wildfire's Wrath;Zorn des Wildfeuers;;Ira del Fuoco Selvaggio;;野火之怒;ワイルドファイアの怒り;산불의 분노;Ira do Fogo Selvagem;Gniew Dzikiego Ognia;Гнев дикого огня;Wildfire'ın Gazabı
WILDFIRES_WRATH_DESC;Defeated enemies charge up this weapon and add additional projectiles as it evolves. Getting hit will removes 40 weapon charges.;Besiegte Feinde laden diese Waffe auf und fügen zusätzliche Projektile hinzu, wenn sie sich weiterentwickelt. Wenn du getroffen wirst, werden 40 Waffenladungen entfernt.;Les ennemis vaincus chargent cette arme et lui ajoutent des projectiles au fur et à mesure qu'elle évolue. Le fait d'être touché supprime 40 charges d'arme.;I nemici sconfitti ricaricano quest'arma e aggiungono altri proiettili man mano che si evolve. Essere colpiti toglie 40 cariche all'arma.;Los enemigos derrotados cargan esta arma y añaden proyectiles adicionales a medida que evoluciona. Si te golpean, eliminarás 40 cargas de arma.;被击败的敌人会为这把武器充能，并在进化过程中增加额外的射弹。被击中将消耗 40 点武器能量。;倒した敵はこの武器にチャージされ、進化するにつれて弾が追加される。攻撃を受けると武器チャージが40消費される。;쓰러진 적은 이 무기를 충전하고 무기가 진화하면서 투사체를 추가합니다. 적중하면 무기 충전이 40회 제거됩니다.;Os inimigos derrotados carregam esta arma e adicionam projécteis adicionais à medida que ela evolui. Ser atingido remove 40 cargas de arma.;Pokonani wrogowie ładują tę broń i dodają dodatkowe pociski w miarę jej ewolucji. Trafienie usuwa 40 ładunków broni.;Побежденные враги заряжают это оружие и добавляют дополнительные снаряды по мере его развития. Попадание в цель снимает 40 зарядов оружия.;Yenilen düşmanlar bu silahı şarj eder ve geliştikçe ek mermiler ekler. Vurulmak 40 silah şarjını siler.
